Data,Miniera,Tonnellate_giornaliere,Latitudine,Longitudine,Consumo_Energia_kWh,Emissioni_CO2_kg,%_Rame,Costo_Lavoro,Costo_Macchinari,Costo_Energia,Incidenti,Ore_Senza_Incidenti,Temperatura_C,Giorni_senza_incidenti_consecutivi
17/01/2024,Miniera 1,42.69,67.9061,20.9575,4562164.09,136864.92,6.96,109289.62,26609.48,547459.69,0,408,-8.45398247851507,17
18/01/2024,Miniera 1,115.46,67.9061,20.9575,11979812.7,359394.38,7.59,109289.62,29699.12,1437577.52,0,432,-17.08817852812287,18
19/01/2024,Miniera 1,54.54,67.9061,20.9575,7345279.31,220358.38,7.76,109289.62,15176.23,881433.52,0,456,-8.097413102604673,19
20/01/2024,Miniera 1,205.11,67.9061,20.9575,12106930.17,363207.91,6.7,109289.62,17557.66,1452831.62,0,480,-9.39323330268288,20
21/01/2024,Miniera 1,85.03,67.9061,20.9575,4308375.29,129251.26,6.02,109289.62,29799.22,517005.03,0,504,-1.4591466544556688,21
22/01/2024,Miniera 1,147.27,67.9061,20.9575,15220534.01,456616.02,5.03,109289.62,15436.4,1826464.08,0,528,-23.482274493109102,22
23/01/2024,Miniera 1,75.78,67.9061,20.9575,9596991.77,287909.75,6.36,109289.62,15481.93,1151639.01,0,552,-16.507777602954505,23
24/01/2024,Miniera 1,5.24,67.9061,20.9575,4612199.17,138365.98,9.6,109289.62,18339.03,553463.9,0,576,-2.9965726485379776,24
25/01/2024,Miniera 1,44.29,67.9061,20.9575,6832019.6,204960.59,7.79,109289.62,21148.19,819842.35,0,600,-5.205348826433362,25
26/01/2024,Miniera 1,15.79,67.9061,20.9575,4500413.26,135012.4,5.54,109289.62,21013.02,540049.59,0,624,-13.022507732129831,26
27/01/2024,Miniera 1,85.31,67.9061,20.9575,8431055.15,252931.65,5.98,109289.62,19860.56,1011726.62,0,648,-13.445237557059192,27
28/01/2024,Miniera 1,42.27,67.9061,20.9575,5186239.54,155587.19,7.21,109289.62,19504.74,622348.74,0,672,-15.31767127576792,28
29/01/2024,Miniera 1,66.19,67.9061,20.9575,10362957.2,310888.72,8.35,109289.62,25546.61,1243554.86,0,696,-16.22083102952473,29
30/01/2024,Miniera 1,29.52,67.9061,20.9575,5532749.55,165982.49,7.36,109289.62,28945.2,663929.95,0,720,-14.105741927429309,30
31/01/2024,Miniera 1,150.11,67.9061,20.9575,11619060.84,348571.83,9.06,109289.62,18603.81,1394287.3,0,744,-10.493810171155848,31
01/02/2024,Miniera 1,75.31,67.9061,20.9575,7474732.97,224241.99,5.19,109289.62,27343.99,896967.96,0,768,-13.814359390640604,32
02/02/2024,Miniera 1,166.59,67.9061,20.9575,10816697.71,324500.93,9.08,109289.62,24872.34,1298003.73,0,792,-9.492695227603951,33
03/02/2024,Miniera 1,34.71,67.9061,20.9575,8742036.65,262261.1,6.61,109289.62,16526.81,1049044.4,0,816,-16.63353457536783,34
04/02/2024,Miniera 1,196.7,67.9061,20.9575,16025809.75,480774.29,5.99,109289.62,21107.14,1923097.17,0,840,-20.248049715895604,35
05/02/2024,Miniera 1,35.95,67.9061,20.9575,6603085.87,198092.58,9.44,109289.62,20999.8,792370.3,1,0,-16.428327189209206,0
06/02/2024,Miniera 1,53.23,67.9061,20.9575,4350526.28,130515.79,7.34,109289.62,17585.21,522063.15,0,24,-4.103560732498217,1
07/02/2024,Miniera 1,39.22,67.9061,20.9575,3677300.04,110319.0,8.51,109289.62,18898.83,441276.0,0,48,-7.468972542971887,2
08/02/2024,Miniera 1,70.13,67.9061,20.9575,5586831.73,167604.95,6.22,109289.62,21550.27,670419.81,0,72,-12.765639692768419,3
09/02/2024,Miniera 1,178.99,67.9061,20.9575,12517235.56,375517.07,7.94,109289.62,28253.72,1502068.27,0,96,-8.267996145016038,4
10/02/2024,Miniera 1,135.2,67.9061,20.9575,6111376.21,183341.29,6.28,109289.62,16156.72,733365.15,0,120,-6.927006635443821,5
11/02/2024,Miniera 1,146.47,67.9061,20.9575,7187305.95,215619.18,6.27,109289.62,17959.59,862476.71,0,144,-4.173699455138269,6
12/02/2024,Miniera 1,16.61,67.9061,20.9575,7082717.56,212481.53,8.93,109289.62,24909.08,849926.11,0,168,-13.724272604444407,7
13/02/2024,Miniera 1,34.9,67.9061,20.9575,3684138.25,110524.15,7.26,109289.62,25991.22,442096.59,0,192,-4.353612746350631,8
14/02/2024,Miniera 1,8.21,67.9061,20.9575,6984545.55,209536.37,6.82,109289.62,18954.67,838145.47,0,216,-19.613626911083497,9
15/02/2024,Miniera 1,53.06,67.9061,20.9575,7052232.49,211566.97,5.23,109289.62,23658.33,846267.9,0,240,-10.427450022668024,10
16/02/2024,Miniera 1,65.6,67.9061,20.9575,8912997.64,267389.93,7.1,109289.62,29094.45,1069559.72,0,264,-18.901237105285865,11
17/02/2024,Miniera 1,98.96,67.9061,20.9575,8477255.11,254317.65,8.57,109289.62,22191.83,1017270.61,0,288,-8.580585063517674,12
18/02/2024,Miniera 1,39.63,67.9061,20.9575,7334231.24,220026.94,7.08,109289.62,15056.86,880107.75,0,312,-19.768559249503664,13
19/02/2024,Miniera 1,202.23,67.9061,20.9575,12638734.77,379162.04,9.65,109289.62,18276.72,1516648.17,0,336,-8.625016120618199,14
20/02/2024,Miniera 1,146.37,67.9061,20.9575,12478974.75,374369.24,8.57,109289.62,21413.84,1497476.97,0,360,-20.354422076788886,15
21/02/2024,Miniera 1,53.63,67.9061,20.9575,7286488.53,218594.66,8.6,109289.62,18253.59,874378.62,0,384,-16.966225331042587,16
22/02/2024,Miniera 1,217.46,67.9061,20.9575,11365214.89,340956.45,8.56,109289.62,21136.31,1363825.79,0,408,-7.962280521564939,17
23/02/2024,Miniera 1,190.06,67.9061,20.9575,11358241.12,340747.23,9.87,109289.62,22243.11,1362988.93,0,432,-1.753073274750335,18
24/02/2024,Miniera 1,96.07,67.9061,20.9575,11409118.76,342273.56,8.03,109289.62,26461.99,1369094.25,0,456,-15.118261157024765,19
25/02/2024,Miniera 1,148.85,67.9061,20.9575,6746439.02,202393.17,8.72,109289.62,20393.84,809572.68,1,0,-7.778817989890285,0
26/02/2024,Miniera 1,41.41,67.9061,20.9575,4885006.12,146550.18,8.11,109289.62,18191.55,586200.73,0,24,-14.241676196822063,1
27/02/2024,Miniera 1,63.02,67.9061,20.9575,5469101.17,164073.04,6.99,109289.62,27697.78,656292.14,0,48,-7.923622113795769,2
28/02/2024,Miniera 1,197.44,67.9061,20.9575,12267341.98,368020.26,5.29,109289.62,22590.95,1472081.04,1,0,-6.92760556031843,0
29/02/2024,Miniera 1,110.61,67.9061,20.9575,9574063.78,287221.91,5.73,109289.62,23453.4,1148887.65,0,24,-9.830755948895753,1
01/03/2024,Miniera 1,17.53,67.9061,20.9575,5028213.31,150846.4,5.86,109289.62,20016.62,603385.6,0,48,13.598763937367405,2
02/03/2024,Miniera 1,50.59,67.9061,20.9575,7785315.0,233559.45,6.48,109289.62,28869.09,934237.8,0,72,-8.094290540457388,3
03/03/2024,Miniera 1,178.8,67.9061,20.9575,12645176.83,379355.3,6.69,109289.62,22957.62,1517421.22,0,96,10.415253661170691,4
04/03/2024,Miniera 1,171.72,67.9061,20.9575,9739933.88,292198.02,8.24,109289.62,18275.55,1168792.07,0,120,7.634108633418155,5
05/03/2024,Miniera 1,145.97,67.9061,20.9575,8149423.63,244482.71,6.08,109289.62,18562.96,977930.84,0,144,-7.171223136853611,6
06/03/2024,Miniera 1,220.19,67.9061,20.9575,16505195.84,495155.88,8.88,109289.62,25259.23,1980623.5,0,168,13.546575198855368,7
07/03/2024,Miniera 1,73.38,67.9061,20.9575,4788853.37,143665.6,6.02,109289.62,24800.54,574662.4,0,192,-1.1009066639366516,8
08/03/2024,Miniera 1,160.04,67.9061,20.9575,7583415.88,227502.48,7.39,109289.62,17683.61,910009.91,0,216,-6.487570966163638,9
09/03/2024,Miniera 1,197.32,67.9061,20.9575,10954985.64,328649.57,9.01,109289.62,24525.18,1314598.28,0,240,-2.598387210660846,10
10/03/2024,Miniera 1,162.74,67.9061,20.9575,2930598.18,87917.95,6.25,109289.62,17803.83,351671.78,0,264,0.55005873190089,11
11/03/2024,Miniera 1,67.24,67.9061,20.9575,4022376.27,120671.29,5.29,109289.62,18235.81,482685.15,0,288,-1.1550745838471101,12
12/03/2024,Miniera 1,161.6,67.9061,20.9575,10074461.83,302233.85,8.88,109289.62,17568.31,1208935.42,0,312,12.135165759418502,13
13/03/2024,Miniera 1,191.61,67.9061,20.9575,9304918.11,279147.54,7.42,109289.62,27174.69,1116590.17,0,336,5.896698878723328,14
14/03/2024,Miniera 1,44.2,67.9061,20.9575,6429563.41,192886.9,8.71,109289.62,26050.99,771547.61,0,360,14.493399011239646,15
15/03/2024,Miniera 1,106.62,67.9061,20.9575,4138250.8,124147.52,8.78,109289.62,15948.23,496590.1,0,384,2.883249134480149,16
16/03/2024,Miniera 1,27.25,67.9061,20.9575,4959667.2,148790.02,6.62,109289.62,24185.58,595160.06,0,408,8.318955319671904,17
17/03/2024,Miniera 1,186.94,67.9061,20.9575,8642617.16,259278.51,8.43,109289.62,20205.94,1037114.06,0,432,7.4692256800068115,18
18/03/2024,Miniera 1,57.8,67.9061,20.9575,3911877.43,117356.32,6.37,109289.62,22049.66,469425.29,0,456,6.851167550375479,19
19/03/2024,Miniera 1,103.43,67.9061,20.9575,2726203.86,81786.12,5.09,109289.62,29501.36,327144.46,0,480,0.7815435908007622,20
20/03/2024,Miniera 1,68.8,67.9061,20.9575,5651326.79,169539.8,9.66,109289.62,20943.47,678159.21,1,0,-9.563067725040732,0
21/03/2024,Miniera 1,86.89,67.9061,20.9575,6366212.74,190986.38,7.86,109289.62,27377.45,763945.53,1,0,6.669091471414095,0
22/03/2024,Miniera 1,145.39,67.9061,20.9575,9375171.43,281255.14,5.42,109289.62,19702.21,1125020.57,0,24,7.814514983004379,1
23/03/2024,Miniera 1,29.24,67.9061,20.9575,3795973.54,113879.21,5.17,109289.62,23433.78,455516.82,0,48,7.7711155657849105,2
24/03/2024,Miniera 1,79.63,67.9061,20.9575,8225861.51,246775.85,9.89,109289.62,20371.26,987103.38,0,72,-7.182728701810891,3
25/03/2024,Miniera 1,77.86,67.9061,20.9575,6084486.16,182534.58,6.28,109289.62,28837.58,730138.34,0,96,-9.466560519373918,4
26/03/2024,Miniera 1,73.02,67.9061,20.9575,6058805.07,181764.15,8.19,109289.62,22624.01,727056.61,1,0,7.470698137411503,0
27/03/2024,Miniera 1,181.05,67.9061,20.9575,8343902.0,250317.06,9.86,109289.62,19450.53,1001268.24,0,24,5.809551866105723,1
28/03/2024,Miniera 1,213.94,67.9061,20.9575,7806468.83,234194.06,5.91,109289.62,20751.32,936776.26,0,48,5.221048613288774,2
29/03/2024,Miniera 1,149.72,67.9061,20.9575,11521223.19,345636.7,6.3,109289.62,27787.69,1382546.78,0,72,-9.59985389025627,3
30/03/2024,Miniera 1,116.74,67.9061,20.9575,10680746.37,320422.39,5.49,109289.62,22357.45,1281689.56,0,96,14.777694510520782,4
31/03/2024,Miniera 1,33.36,67.9061,20.9575,6110959.21,183328.78,8.5,109289.62,24864.98,733315.11,0,120,10.441967963499376,5
01/04/2024,Miniera 1,104.4,67.9061,20.9575,8366608.72,250998.26,9.31,109289.62,27731.01,1003993.05,0,144,-6.214490250158077,6
02/04/2024,Miniera 1,203.72,67.9061,20.9575,13675274.88,410258.25,8.44,109289.62,20332.86,1641032.99,0,168,-3.6848192556744124,7
03/04/2024,Miniera 1,226.65,67.9061,20.9575,11692168.8,350765.06,9.5,109289.62,15030.47,1403060.26,0,192,-3.8680417351960807,8
04/04/2024,Miniera 1,121.76,67.9061,20.9575,5102953.02,153088.59,6.14,109289.62,24224.37,612354.36,0,216,2.73060893389637,9
05/04/2024,Miniera 1,207.44,67.9061,20.9575,11402194.74,342065.84,7.53,109289.62,22747.09,1368263.37,0,240,-1.0276574763434567,10
06/04/2024,Miniera 1,194.57,67.9061,20.9575,9238671.93,277160.16,8.7,109289.62,27889.51,1108640.63,0,264,-9.786339161393144,11
07/04/2024,Miniera 1,221.16,67.9061,20.9575,15091389.24,452741.68,8.31,109289.62,24067.88,1810966.71,0,288,11.532269884462028,12
08/04/2024,Miniera 1,51.54,67.9061,20.9575,6385329.67,191559.89,9.12,109289.62,21161.4,766239.56,0,312,11.0935697467722,13
09/04/2024,Miniera 1,15.2,67.9061,20.9575,1967415.62,59022.47,5.38,109289.62,29907.66,236089.87,0,336,2.997329241216729,14
10/04/2024,Miniera 1,50.95,67.9061,20.9575,5623139.9,168694.2,9.65,109289.62,15945.29,674776.79,0,360,-0.5066272522453943,15
11/04/2024,Miniera 1,28.19,67.9061,20.9575,5409092.86,162272.79,8.34,109289.62,20550.99,649091.14,0,384,-7.503333019835658,16
12/04/2024,Miniera 1,220.0,67.9061,20.9575,12226523.1,366795.69,7.37,109289.62,16141.02,1467182.77,0,408,11.187186980548685,17
13/04/2024,Miniera 1,15.7,67.9061,20.9575,2666442.91,79993.29,9.98,109289.62,25688.1,319973.15,0,432,3.425391807481599,18
14/04/2024,Miniera 1,207.74,67.9061,20.9575,11604176.25,348125.29,6.54,109289.62,22309.75,1392501.15,0,456,9.52836364205277,19
15/04/2024,Miniera 1,194.6,67.9061,20.9575,10032812.64,300984.38,8.44,109289.62,25678.69,1203937.52,0,480,-2.810469146451152,20
16/04/2024,Miniera 1,100.05,67.9061,20.9575,7569327.5,227079.82,7.87,109289.62,26704.99,908319.3,0,504,8.21013983030172,21
17/04/2024,Miniera 1,45.8,67.9061,20.9575,6825259.47,204757.78,9.53,109289.62,27533.3,819031.14,1,0,13.51686137592349,0
18/04/2024,Miniera 1,4.36,67.9061,20.9575,4814993.62,144449.81,6.37,109289.62,17286.31,577799.23,0,24,12.704772500641766,1
19/04/2024,Miniera 1,126.93,67.9061,20.9575,9146950.09,274408.5,6.61,109289.62,17895.37,1097634.01,0,48,-7.077186176551223,2
20/04/2024,Miniera 1,120.51,67.9061,20.9575,5736586.5,172097.6,5.89,109289.62,21138.99,688390.38,0,72,3.8109790410760684,3
21/04/2024,Miniera 1,32.06,67.9061,20.9575,4122395.89,123671.88,7.42,109289.62,24397.99,494687.51,0,96,-7.461371828129567,4
22/04/2024,Miniera 1,114.11,67.9061,20.9575,5259479.87,157784.4,7.0,109289.62,27133.05,631137.58,0,120,-2.107076302738392,5
23/04/2024,Miniera 1,103.05,67.9061,20.9575,10065468.81,301964.06,7.07,109289.62,23120.05,1207856.26,0,144,-9.050899918074004,6
24/04/2024,Miniera 1,223.98,67.9061,20.9575,9751299.36,292538.98,6.05,109289.62,20254.59,1170155.92,0,168,-3.7253980502056354,7
25/04/2024,Miniera 1,137.18,67.9061,20.9575,8532769.99,255983.1,9.67,109289.62,19494.91,1023932.4,0,192,11.460240768239355,8
26/04/2024,Miniera 1,135.01,67.9061,20.9575,7820085.22,234602.56,9.51,109289.62,22949.9,938410.23,0,216,-4.66980152560985,9
27/04/2024,Miniera 1,185.06,67.9061,20.9575,13905803.31,417174.1,7.17,109289.62,15569.95,1668696.4,0,240,-7.023896147763603,10
28/04/2024,Miniera 1,80.56,67.9061,20.9575,6427446.56,192823.4,5.24,109289.62,26336.32,771293.59,0,264,-7.953679366906121,11
29/04/2024,Miniera 1,107.19,67.9061,20.9575,10567186.47,317015.59,6.94,109289.62,18756.86,1268062.38,0,288,-6.98380625904317,12
30/04/2024,Miniera 1,149.88,67.9061,20.9575,8011655.76,240349.67,7.14,109289.62,15384.03,961398.69,0,312,8.486323547459698,13
01/05/2024,Miniera 1,188.38,67.9061,20.9575,8853566.41,265606.99,6.29,109289.62,26415.75,1062427.97,0,336,8.966983815357423,14
02/05/2024,Miniera 1,3.57,67.9061,20.9575,3404576.77,102137.3,9.4,109289.62,21771.52,408549.21,0,360,-3.5430751297751772,15
03/05/2024,Miniera 1,9.28,67.9061,20.9575,4134315.84,124029.48,6.28,109289.62,26384.88,496117.9,0,384,-0.6458404521523793,16
04/05/2024,Miniera 1,79.77,67.9061,20.9575,4617527.12,138525.81,9.49,109289.62,25254.53,554103.25,0,408,-5.254790212397367,17
05/05/2024,Miniera 1,32.38,67.9061,20.9575,5147705.54,154431.17,7.05,109289.62,24729.77,617724.66,0,432,11.922745592232513,18
06/05/2024,Miniera 1,7.92,67.9061,20.9575,4009275.42,120278.26,5.91,109289.62,28107.67,481113.05,0,456,-2.599492674870082,19
07/05/2024,Miniera 1,224.87,67.9061,20.9575,9087153.28,272614.6,9.39,109289.62,16977.34,1090458.39,0,480,7.450957046804259,20
08/05/2024,Miniera 1,134.46,67.9061,20.9575,9663454.31,289903.63,7.43,109289.62,29127.42,1159614.52,0,504,9.456528857230946,21
09/05/2024,Miniera 1,127.52,67.9061,20.9575,12157453.41,364723.6,5.06,109289.62,22720.24,1458894.41,0,528,14.404594212954336,22
10/05/2024,Miniera 1,118.88,67.9061,20.9575,9742133.73,292264.01,5.7,109289.62,25681.95,1169056.05,0,552,13.90347967623914,23
11/05/2024,Miniera 1,151.46,67.9061,20.9575,4405916.96,132177.51,8.39,109289.62,27872.02,528710.04,0,576,3.2697352266087005,24
12/05/2024,Miniera 1,221.08,67.9061,20.9575,9631242.99,288937.29,7.36,109289.62,21511.09,1155749.16,0,600,-7.37580125124504,25
13/05/2024,Miniera 1,108.65,67.9061,20.9575,8503860.83,255115.82,7.91,109289.62,23366.38,1020463.3,0,624,-7.767956947520531,26
14/05/2024,Miniera 1,193.88,67.9061,20.9575,9590542.6,287716.28,6.48,109289.62,21222.59,1150865.11,0,648,-2.0574230762866987,27
15/05/2024,Miniera 1,119.68,67.9061,20.9575,9203724.51,276111.74,7.4,109289.62,26835.17,1104446.94,0,672,14.446661846526439,28
16/05/2024,Miniera 1,131.98,67.9061,20.9575,9925414.46,297762.43,5.41,109289.62,18433.7,1191049.74,0,696,-6.540173579468572,29
17/05/2024,Miniera 1,182.22,67.9061,20.9575,8027882.21,240836.47,5.1,109289.62,25713.69,963345.87,0,720,6.149410766907028,30
18/05/2024,Miniera 1,208.47,67.9061,20.9575,10806165.66,324184.97,5.52,109289.62,25501.3,1296739.88,0,744,-5.630730872471947,31
19/05/2024,Miniera 1,213.58,67.9061,20.9575,15227021.81,456810.65,5.77,109289.62,17576.99,1827242.62,0,768,12.63079255558295,32
20/05/2024,Miniera 1,70.3,67.9061,20.9575,9222208.78,276666.26,7.64,109289.62,22255.65,1106665.05,0,792,14.012200007327191,33
21/05/2024,Miniera 1,143.92,67.9061,20.9575,12684478.73,380534.36,6.4,109289.62,17416.33,1522137.45,0,816,-8.514191283389064,34
22/05/2024,Miniera 1,94.35,67.9061,20.9575,9205184.46,276155.53,8.41,109289.62,29084.37,1104622.14,0,840,12.787881405427665,35
23/05/2024,Miniera 1,80.49,67.9061,20.9575,7952455.71,238573.67,8.64,109289.62,18561.13,954294.69,0,864,-8.258896465149917,36
24/05/2024,Miniera 1,4.48,67.9061,20.9575,4183114.69,125493.44,7.28,109289.62,16532.47,501973.76,0,888,-3.70472826129323,37
25/05/2024,Miniera 1,54.85,67.9061,20.9575,4273784.46,128213.53,9.96,109289.62,20130.93,512854.14,0,912,-5.298173457467605,38
26/05/2024,Miniera 1,73.02,67.9061,20.9575,6472698.69,194180.96,6.06,109289.62,26163.61,776723.84,1,0,11.834558186618796,0
27/05/2024,Miniera 1,106.67,67.9061,20.9575,3579162.95,107374.89,7.33,109289.62,18987.0,429499.55,0,24,1.2111929557073111,1
28/05/2024,Miniera 1,112.02,67.9061,20.9575,8135493.69,244064.81,6.76,109289.62,16164.8,976259.24,0,48,-1.7909511462755905,2
29/05/2024,Miniera 1,64.47,67.9061,20.9575,2541427.84,76242.84,9.85,109289.62,29510.9,304971.34,0,72,0.20039414193185578,3
30/05/2024,Miniera 1,130.67,67.9061,20.9575,7307477.44,219224.32,5.92,109289.62,25230.8,876897.29,0,96,-7.998463650811853,4
31/05/2024,Miniera 1,29.43,67.9061,20.9575,4377189.71,131315.69,8.58,109289.62,15588.89,525262.77,1,0,7.8606818572876165,0
01/06/2024,Miniera 1,53.94,67.9061,20.9575,4268634.05,128059.02,5.75,109289.62,24039.52,512236.09,0,24,24.102896782179286,1
02/06/2024,Miniera 1,102.7,67.9061,20.9575,5908084.49,177242.53,5.52,109289.62,15969.32,708970.14,0,48,24.573038367963072,2
03/06/2024,Miniera 1,213.55,67.9061,20.9575,8171648.48,245149.45,9.54,109289.62,16658.93,980597.82,0,72,24.975920034686077,3
04/06/2024,Miniera 1,40.01,67.9061,20.9575,3390770.52,101723.12,9.73,109289.62,29196.63,406892.46,1,0,24.52232818828995,0
05/06/2024,Miniera 1,189.21,67.9061,20.9575,6748713.85,202461.42,8.35,109289.62,21527.33,809845.66,0,24,15.944217935405263,1
06/06/2024,Miniera 1,2.49,67.9061,20.9575,2466692.11,74000.76,7.96,109289.62,26734.88,296003.05,0,48,15.250616651245712,2
07/06/2024,Miniera 1,33.69,67.9061,20.9575,3926113.56,117783.41,5.02,109289.62,26265.38,471133.63,0,72,16.659365875000077,3
08/06/2024,Miniera 1,54.3,67.9061,20.9575,3333891.99,100016.76,5.5,109289.62,28175.08,400067.04,0,96,21.971252885836822,4
09/06/2024,Miniera 1,90.32,67.9061,20.9575,5038128.72,151143.86,8.89,109289.62,27435.36,604575.45,0,120,22.570387776786436,5
10/06/2024,Miniera 1,168.62,67.9061,20.9575,5670179.0,170105.37,8.41,109289.62,27573.39,680421.48,0,144,22.930109149449944,6
11/06/2024,Miniera 1,14.72,67.9061,20.9575,2565423.02,76962.69,7.15,109289.62,26854.91,307850.76,1,0,17.112517868044755,0
12/06/2024,Miniera 1,18.41,67.9061,20.9575,3092368.67,92771.06,5.14,109289.62,23912.05,371084.24,0,24,20.769287781995246,1
13/06/2024,Miniera 1,19.64,67.9061,20.9575,2571223.42,77136.7,6.15,109289.62,29667.15,308546.81,0,48,23.559780983600604,2
14/06/2024,Miniera 1,131.22,67.9061,20.9575,6921092.81,207632.78,8.37,109289.62,26594.04,830531.14,0,72,20.33358593554949,3
15/06/2024,Miniera 1,26.61,67.9061,20.9575,2552958.18,76588.75,9.48,109289.62,28745.42,306354.98,0,96,24.562212021234416,4
16/06/2024,Miniera 1,10.35,67.9061,20.9575,2630766.58,78923.0,9.7,109289.62,29551.08,315691.99,0,120,21.268426127975303,5
17/06/2024,Miniera 1,4.54,67.9061,20.9575,2323401.42,69702.04,5.65,109289.62,25636.11,278808.17,0,144,17.564217961191993,6
18/06/2024,Miniera 1,146.4,67.9061,20.9575,5191565.8,155746.97,7.32,109289.62,18154.12,622987.9,0,168,23.824120849045332,7
19/06/2024,Miniera 1,23.11,67.9061,20.9575,2753612.87,82608.39,9.46,109289.62,16931.65,330433.54,0,192,23.112079996285022,8
20/06/2024,Miniera 1,44.22,67.9061,20.9575,4271244.76,128137.34,5.98,109289.62,15182.21,512549.37,0,216,24.248926801657504,9
21/06/2024,Miniera 1,170.91,67.9061,20.9575,7458772.33,223763.17,9.98,109289.62,16868.61,895052.68,0,240,24.675310143132066,10
22/06/2024,Miniera 1,185.07,67.9061,20.9575,6794356.78,203830.7,8.78,109289.62,15072.63,815322.81,0,264,19.440162725791197,11
23/06/2024,Miniera 1,223.98,67.9061,20.9575,8767495.15,263024.85,9.71,109289.62,19807.39,1052099.42,1,0,23.91201180839305,0
24/06/2024,Miniera 1,125.05,67.9061,20.9575,4913266.33,147397.99,8.25,109289.62,26439.92,589591.96,0,24,19.461830784527443,1
25/06/2024,Miniera 1,42.37,67.9061,20.9575,3768611.8,113058.35,5.97,109289.62,15272.93,452233.42,0,48,23.649785421141395,2
26/06/2024,Miniera 1,165.99,67.9061,20.9575,7464240.32,223927.21,7.45,109289.62,17696.22,895708.84,0,72,18.093425272862266,3
27/06/2024,Miniera 1,12.07,67.9061,20.9575,2509749.4,75292.48,9.99,109289.62,29468.77,301169.93,0,96,23.463037663302313,4
28/06/2024,Miniera 1,19.91,67.9061,20.9575,3238713.76,97161.41,9.75,109289.62,22433.19,388645.65,0,120,24.218882999573147,5
29/06/2024,Miniera 1,19.43,67.9061,20.9575,3442491.55,103274.75,9.81,109289.62,25110.2,413098.99,0,144,22.287377434302662,6
30/06/2024,Miniera 1,86.93,67.9061,20.9575,4956730.02,148701.9,9.76,109289.62,28390.65,594807.6,0,168,23.705335908337304,7
01/07/2024,Miniera 1,211.47,67.9061,20.9575,6314738.14,189442.14,6.3,109289.62,22218.34,757768.58,0,192,18.086599589151426,8
02/07/2024,Miniera 1,22.43,67.9061,20.9575,3661217.41,109836.52,8.02,109289.62,25851.06,439346.09,0,216,22.571260533879283,9
03/07/2024,Miniera 1,119.34,67.9061,20.9575,6431862.92,192955.89,8.19,109289.62,15193.5,771823.55,0,240,21.504517075659706,10
04/07/2024,Miniera 1,40.26,67.9061,20.9575,4115916.53,123477.5,6.0,109289.62,16339.8,493909.98,0,264,21.22076878355514,11
05/07/2024,Miniera 1,16.92,67.9061,20.9575,2904407.55,87132.23,7.5,109289.62,20098.75,348528.91,0,288,16.10315932214783,12
